Date (Year-Month),Location,Category,Reference_Index,Index(%)
1981-02,Saskatchewan,Total (house and land),"Index, 201612=100",
1981-02,Saskatchewan,House only,"Index, 201612=100",
1981-02,Saskatchewan,Land only,"Index, 201612=100",
1981-02,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",20.2
1981-02,"Regina, Saskatchewan",House only,"Index, 201612=100",21.2
1981-02,"Regina, Saskatchewan",Land only,"Index, 201612=100",17.1
1981-02,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",33.0
1981-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",35.8
1981-02,"Saskatoon, Saskatchewan",Land only,"Index, 201612=100",26.0
1981-02,Alberta,Total (house and land),"Index, 201612=100",
1981-02,Alberta,House only,"Index, 201612=100",
1981-02,Alberta,Land only,"Index, 201612=100",
1981-02,"Calgary, Alberta",Total (house and land),"Index, 201612=100",25.5
1981-02,"Calgary, Alberta",House only,"Index, 201612=100",28.1
1981-02,"Calgary, Alberta",Land only,"Index, 201612=100",19.6
1981-02,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",36.1
1981-02,"Edmonton, Alberta",House only,"Index, 201612=100",36.8
1981-02,"Edmonton, Alberta",Land only,"Index, 201612=100",32.9
1981-02,British Columbia,Total (house and land),"Index, 201612=100",
1981-02,British Columbia,House only,"Index, 201612=100",
1981-02,British Columbia,Land only,"Index, 201612=100",
1981-02,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
1981-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
1981-02,"Kelowna, British Columbia",Land only,"Index, 201612=100",
1981-02,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",92.2
1981-02,"Vancouver, British Columbia",House only,"Index, 201612=100",97.5
1981-02,"Vancouver, British Columbia",Land only,"Index, 201612=100",85.3
1981-02,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",130.1
1981-02,"Victoria, British Columbia",House only,"Index, 201612=100",209.1
1981-02,"Victoria, British Columbia",Land only,"Index, 201612=100",50.9
1981-03,Canada,Total (house and land),"Index, 201612=100",39.3
1981-03,Canada,House only,"Index, 201612=100",37.3
1981-03,Canada,Land only,"Index, 201612=100",41.1
1981-03,Atlantic Region,Total (house and land),"Index, 201612=100",
1981-03,Atlantic Region,House only,"Index, 201612=100",
1981-03,Atlantic Region,Land only,"Index, 201612=100",
1981-03,Newfoundland and Labrador,Total (house and land),"Index, 201612=100",
1981-03,Newfoundland and Labrador,House only,"Index, 201612=100",
1981-03,Newfoundland and Labrador,Land only,"Index, 201612=100",
1981-03,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",36.2
1981-03,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",37.5
1981-03,"St. John's, Newfoundland and Labrador",Land only,"Index, 201612=100",31.8
1981-03,Prince Edward Island,Total (house and land),"Index, 201612=100",
1981-03,Prince Edward Island,House only,"Index, 201612=100",
1981-03,Prince Edward Island,Land only,"Index, 201612=100",
1981-03,"Charlottetown, Prince Edward Island",Total (house and land),"Index, 201612=100",
1981-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
1981-03,"Charlottetown, Prince Edward Island",Land only,"Index, 201612=100",
1981-03,Nova Scotia,Total (house and land),"Index, 201612=100",
1981-03,Nova Scotia,House only,"Index, 201612=100",
1981-03,Nova Scotia,Land only,"Index, 201612=100",
1981-03,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",
1981-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",
1981-03,"Halifax, Nova Scotia",Land only,"Index, 201612=100",
1981-03,New Brunswick,Total (house and land),"Index, 201612=100",
1981-03,New Brunswick,House only,"Index, 201612=100",
1981-03,New Brunswick,Land only,"Index, 201612=100",
1981-03,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),"Index, 201612=100",56.2
1981-03,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",62.1
1981-03,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,"Index, 201612=100",38.0
1981-03,Quebec,Total (house and land),"Index, 201612=100",
1981-03,Quebec,House only,"Index, 201612=100",
1981-03,Quebec,Land only,"Index, 201612=100",
1981-03,"Québec, Quebec",Total (house and land),"Index, 201612=100",30.6
1981-03,"Québec, Quebec",House only,"Index, 201612=100",35.4
1981-03,"Québec, Quebec",Land only,"Index, 201612=100",20.6
1981-03,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
1981-03,"Sherbrooke, Quebec",House only,"Index, 201612=100",
1981-03,"Sherbrooke, Quebec",Land only,"Index, 201612=100",
1981-03,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
1981-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
1981-03,"Trois-Rivières, Quebec",Land only,"Index, 201612=100",
1981-03,"Montréal, Quebec",Total (house and land),"Index, 201612=100",29.0
1981-03,"Montréal, Quebec",House only,"Index, 201612=100",30.5
1981-03,"Montréal, Quebec",Land only,"Index, 201612=100",21.0
1981-03,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),"Index, 201612=100",
1981-03,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
1981-03,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Land only,"Index, 201612=100",
1981-03,Ontario,Total (house and land),"Index, 201612=100",
1981-03,Ontario,House only,"Index, 201612=100",
1981-03,Ontario,Land only,"Index, 201612=100",
1981-03,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),"Index, 201612=100",33.6
1981-03,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",31.9
1981-03,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,"Index, 201612=100",40.6
1981-03,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
1981-03,"Oshawa, Ontario",House only,"Index, 201612=100",
1981-03,"Oshawa, Ontario",Land only,"Index, 201612=100",
1981-03,"Toronto, Ontario",Total (house and land),"Index, 201612=100",29.8
1981-03,"Toronto, Ontario",House only,"Index, 201612=100",24.8
1981-03,"Toronto, Ontario",Land only,"Index, 201612=100",39.5
1981-03,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",30.7
1981-03,"Hamilton, Ontario",House only,"Index, 201612=100",25.3
1981-03,"Hamilton, Ontario",Land only,"Index, 201612=100",46.0
1981-03,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",30.8
1981-03,"St. Catharines-Niagara, Ontario",House only,"Index, 201612=100",28.6
1981-03,"St. Catharines-Niagara, Ontario",Land only,"Index, 201612=100",35.6
1981-03,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",34.2
1981-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",30.7
1981-03,"Kitchener-Cambridge-Waterloo, Ontario",Land only,"Index, 201612=100",43.5
1981-03,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
1981-03,"Guelph, Ontario",House only,"Index, 201612=100",
1981-03,"Guelph, Ontario",Land only,"Index, 201612=100",
1981-03,"London, Ontario",Total (house and land),"Index, 201612=100",32.8
1981-03,"London, Ontario",House only,"Index, 201612=100",28.2
1981-03,"London, Ontario",Land only,"Index, 201612=100",51.4
1981-03,"Windsor, Ontario",Total (house and land),"Index, 201612=100",60.7
1981-03,"Windsor, Ontario",House only,"Index, 201612=100",64.1
1981-03,"Windsor, Ontario",Land only,"Index, 201612=100",47.5
1981-03,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",55.4
1981-03,"Greater Sudbury, Ontario",House only,"Index, 201612=100",55.6
1981-03,"Greater Sudbury, Ontario",Land only,"Index, 201612=100",52.1
1981-03,Prairie Region,Total (house and land),"Index, 201612=100",
1981-03,Prairie Region,House only,"Index, 201612=100",
1981-03,Prairie Region,Land only,"Index, 201612=100",
1981-03,Manitoba,Total (house and land),"Index, 201612=100",
1981-03,Manitoba,House only,"Index, 201612=100",
1981-03,Manitoba,Land only,"Index, 201612=100",
1981-03,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",27.3
1981-03,"Winnipeg, Manitoba",House only,"Index, 201612=100",30.3
1981-03,"Winnipeg, Manitoba",Land only,"Index, 201612=100",18.7
1981-03,Saskatchewan,Total (house and land),"Index, 201612=100",
1981-03,Saskatchewan,House only,"Index, 201612=100",
1981-03,Saskatchewan,Land only,"Index, 201612=100",
1981-03,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",20.6
1981-03,"Regina, Saskatchewan",House only,"Index, 201612=100",21.5
1981-03,"Regina, Saskatchewan",Land only,"Index, 201612=100",17.5
1981-03,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",33.4
1981-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",36.4
1981-03,"Saskatoon, Saskatchewan",Land only,"Index, 201612=100",26.0
1981-03,Alberta,Total (house and land),"Index, 201612=100",
1981-03,Alberta,House only,"Index, 201612=100",
1981-03,Alberta,Land only,"Index, 201612=100",
1981-03,"Calgary, Alberta",Total (house and land),"Index, 201612=100",25.8
1981-03,"Calgary, Alberta",House only,"Index, 201612=100",28.6
1981-03,"Calgary, Alberta",Land only,"Index, 201612=100",19.6
1981-03,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",36.1
1981-03,"Edmonton, Alberta",House only,"Index, 201612=100",36.8
1981-03,"Edmonton, Alberta",Land only,"Index, 201612=100",32.9
1981-03,British Columbia,Total (house and land),"Index, 201612=100",
1981-03,British Columbia,House only,"Index, 201612=100",
1981-03,British Columbia,Land only,"Index, 201612=100",
1981-03,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
1981-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
1981-03,"Kelowna, British Columbia",Land only,"Index, 201612=100",
1981-03,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",92.2
1981-03,"Vancouver, British Columbia",House only,"Index, 201612=100",97.5
1981-03,"Vancouver, British Columbia",Land only,"Index, 201612=100",85.3
1981-03,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",130.8
1981-03,"Victoria, British Columbia",House only,"Index, 201612=100",210.6
1981-03,"Victoria, British Columbia",Land only,"Index, 201612=100",50.9
1981-04,Canada,Total (house and land),"Index, 201612=100",39.9
1981-04,Canada,House only,"Index, 201612=100",38.1
1981-04,Canada,Land only,"Index, 201612=100",41.2
1981-04,Atlantic Region,Total (house and land),"Index, 201612=100",
1981-04,Atlantic Region,House only,"Index, 201612=100",
1981-04,Atlantic Region,Land only,"Index, 201612=100",
1981-04,Newfoundland and Labrador,Total (house and land),"Index, 201612=100",
1981-04,Newfoundland and Labrador,House only,"Index, 201612=100",
1981-04,Newfoundland and Labrador,Land only,"Index, 201612=100",
1981-04,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",36.2
1981-04,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",37.5
1981-04,"St. John's, Newfoundland and Labrador",Land only,"Index, 201612=100",31.8
1981-04,Prince Edward Island,Total (house and land),"Index, 201612=100",
1981-04,Prince Edward Island,House only,"Index, 201612=100",
1981-04,Prince Edward Island,Land only,"Index, 201612=100",
1981-04,"Charlottetown, Prince Edward Island",Total (house and land),"Index, 201612=100",
1981-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
1981-04,"Charlottetown, Prince Edward Island",Land only,"Index, 201612=100",
1981-04,Nova Scotia,Total (house and land),"Index, 201612=100",
1981-04,Nova Scotia,House only,"Index, 201612=100",
1981-04,Nova Scotia,Land only,"Index, 201612=100",
1981-04,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",
1981-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",
1981-04,"Halifax, Nova Scotia",Land only,"Index, 201612=100",
1981-04,New Brunswick,Total (house and land),"Index, 201612=100",
1981-04,New Brunswick,House only,"Index, 201612=100",
1981-04,New Brunswick,Land only,"Index, 201612=100",
1981-04,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),"Index, 201612=100",56.2
1981-04,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",62.1
