Date (Year),Location,Property category,Average(C$)
2014,New Brunswick,Residential,40482.0
2014,Quebec,Residential,739232.7
2014,Ontario,Residential,1889627.5
2014,Manitoba,Residential,105207.5
2014,Saskatchewan,Residential,110077.3
2014,Alberta,Residential,587883.7
2014,British Columbia,Residential,884106.2
2014,Yukon,Residential,2280.2
2014,Northwest Territories,Residential,3759.3
2014,Nunavut,Residential,1260.2
2014,Total census metropolitan areas,Residential,3463765.3
2014,"St. John's, Newfoundland and Labrador",Residential,23444.0
2014,"Halifax, Nova Scotia",Residential,39308.3
2014,"Saint John, New Brunswick",Residential,7898.1
2014,"Moncton, New Brunswick",Residential,8897.1
2014,"Montréal, Quebec",Residential,409279.2
2014,"Québec, Quebec",Residential,76729.4
2014,"Saguenay, Quebec",Residential,11632.1
2014,"Sherbrooke, Quebec",Residential,17048.9
2014,"Trois-Rivières, Quebec",Residential,9425.6
2014,"Barrie, Ontario",Residential,22647.2
2014,"Brantford, Ontario",Residential,12244.0
2014,"Greater Sudbury, Ontario",Residential,15426.6
2014,"Guelph, Ontario",Residential,19205.7
2014,"Hamilton, Ontario",Residential,93308.6
2014,"Kingston, Ontario",Residential,18478.3
2014,"Kitchener-Cambridge-Waterloo, Ontario",Residential,54748.9
2014,"London, Ontario",Residential,44541.9
2014,"Oshawa, Ontario",Residential,43713.6
2014,"Ottawa-Gatineau, Ontario/Quebec",Residential,162527.0
2014,Ottawa part,Residential,131863.4
2014,Gatineau part,Residential,30663.7
2014,"Peterborough, Ontario",Residential,12938.7
2014,"St. Catharines-Niagara, Ontario",Residential,38092.8
2014,"Thunder Bay, Ontario",Residential,11191.3
2014,"Toronto, Ontario",Residential,1043127.1
2014,"Windsor, Ontario",Residential,22785.0
2014,"Winnipeg, Manitoba",Residential,73903.4
2014,"Regina, Saskatchewan",Residential,28861.2
2014,"Saskatoon, Saskatchewan",Residential,35994.5
2014,"Calgary, Alberta",Residential,239644.7
2014,"Edmonton, Alberta",Residential,182633.5
2014,"Kelowna, British Columbia",Residential,31682.1
